Name,Chosen Name,URL
,,https://www.bundesregierung.de/breg-de/bundesregierung/bundeskabinett
/index.html,/index.html,https://www.bundesregierung.de/breg-de/bundesregierung/bundeskabinett
Dr. Angela Merkel,Angela Merkel,https://www.bundesregierung.de/breg-de/bundesregierung/bundeskabinett
dex Name,dex Name,https://www.bundesregierung.de/breg-de/bundesregierung/bundeskabinett
Lam Akol,Lam Akol,https://www.pm.gov.au/
Kuek Ser Kuang,AiwenKuek HengHeng,https://www.pm.gov.au/
Rebecca Nyakong,Rebecca Nyakong,https://www.pm.gov.au/
Aluel Bol,Aluel Bol,https://www.pm.gov.au/
James Gatdet Dak,James Dak,https://www.pm.gov.au/
Gabriel Roren,Gabriel Roren,https://www.pm.gov.au/
Akec Tong,Akec Tong,https://www.pm.gov.au/
Chol Tong,Chol Tong,https://www.pm.gov.au/
Oyai Deng Ajak,Oyai Ajak,https://www.pm.gov.au/
Taban Deng Gai,Taban Gai,https://www.pm.gov.au/
Dengdit Ayuel,Dengdit Ayuel,https://www.pm.gov.au/
Linda Reynolds,Linda Reynolds,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=112096
Dean Smith,Dean Smith,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=112096
Jane Hume,Jane Hume,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=112096
Concetta Fierravanti-Wells,Concetta Fierravanti-Wells,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=112096
Arthur Sinodinos,Arthur Sinodinos,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=112096
David Fawcett,David Fawcett,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=112096
Simon Birmingham,Simon Birmingham,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=112096
James McGrath,James McGrath,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=112096
Mitchell Fifield,Mitchell Fifield,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=112096
Jim Molan,Jim Molan,https://www.aph.gov.au/Senators_and_Members/Parliamentarian?MPID=112096
Ahern Tony,Ahern Tony,https://www.aph.gov.au/senate/los
Allan Rod,Allan Rod,https://www.aph.gov.au/senate/los
Albanese Anthony,Albanese Anthony,https://www.aph.gov.au/senate/los
Ahmed Sam,Ahmed Sam,https://www.aph.gov.au/senate/los
